위도(WGS84좌표),경도(WGS84좌표),information,man_made,name,addr:full,operator,operator:type,start_date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
38.2096957,128.0656951,board,,마을회관게시판,강원도 양구군 동면 팔랑리 1182-1,강원도 양구군 동면사무소,government,2017,,,1182-1,동면,,,
38.2162775,128.0508552,board,,마을회관게시판,강원도 양구군 동면 팔랑리 1460-8,강원도 양구군 동면사무소,government,2017,,,1460-8,동면,,,
38.2170724,128.0434453,board,,마을회관게시판,강원도 양구군 동면 월운리 86-43,강원도 양구군 동면사무소,government,2017,,,86-43,동면,,,
38.1890351,127.9220221,board,,마을회관게시판,강원도 양구군 방산면 오미리 235-1,강원도 양구군 방산면사무소,government,2017,,,235-1,방산면,,,
38.1944763,127.9293708,board,,마을회관게시판,강원도 양구군 방산면 금악리 480-1,강원도 양구군 방산면사무소,government,2017,,,480-1,방산면,,,
38.2098949,127.9490192,board,,마을회관게시판,강원도 양구군 방산면 현리 10,강원도 양구군 방산면사무소,government,2017,,,10,방산면,,,
38.2085059,127.9517698,board,,마을회관게시판,강원도 양구군 방산면 장평리 262-11,강원도 양구군 방산면사무소,government,2017,,,262-11,방산면,,,
38.2247334,127.9566154,board,,마을회관게시판,강원도 양구군 방산면 송현리 511-1,강원도 양구군 방산면사무소,government,2017,,,511-1,방산면,,,
38.2483387,127.9396171,board,,마을회관게시판,강원도 양구군 방산면 송현리 537,강원도 양구군 방산면사무소,government,2017,,,537,방산면,,,
38.2865418,128.1391095,board,,마을회관게시판,강원도 양구군 해안면 현리 49,강원도 양구군 해안면사무소,government,2017,,,49,해안면,,,
38.2860237,128.1406951,board,,마을회관게시판,강원도 양구군 해안면 현리 55-4,강원도 양구군 해안면사무소,government,2017,,,55-4,해안면,,,
38.2941593,128.1305889,board,,마을회관게시판,강원도 양구군 해안면 현리 422-3,강원도 양구군 해안면사무소,government,2017,,,422-3,해안면,,,
38.2790944,128.1321506,board,,마을회관게시판,강원도 양구군 해안면 오유리 5-2,강원도 양구군 해안면사무소,government,2017,,,5-2,해안면,,,
38.2822182,128.1327838,board,,마을회관게시판,강원도 양구군 해안면 현리 121-5,강원도 양구군 해안면사무소,government,2017,,,121-5,해안면,,,
38.2677604,128.1279806,board,,마을회관게시판,강원도 양구군 해안면 만대리 1744,강원도 양구군 해안면사무소,government,2017,,,1744,해안면,,,
37.936079,128.786879,,utility_pole,현수막게시대,강원도 양양군 현남면 남애리 161-3,양양군 현남면사무소,government,2003,,,161-3,현남면,,,
37.965775,128.759784,,utility_pole,현수막게시대,강원도 양양군 현남면 인구리 110-2,양양군 현남면사무소,government,2005,,,110-2,현남면,,,
