위도,경도,name,highway,public_transport,operator
37.83173,128.875044,방동하리,bus_stop,platform,강릉시
37.773844,128.883697,방축거리,bus_stop,platform,강릉시
37.773377,128.883602,방축거리,bus_stop,platform,강릉시
37.642417,128.854331,방터골입구,bus_stop,platform,강릉시
37.642418,128.854232,방터골입구,bus_stop,platform,강릉시
37.576093,128.743241,배나드리,bus_stop,platform,강릉시
37.576069,128.743385,배나드리,bus_stop,platform,강릉시
37.655967,128.850376,백운암입구,bus_stop,platform,강릉시
37.655908,128.850233,백운암입구,bus_stop,platform,강릉시
37.722836,128.962796,버당말,bus_stop,platform,강릉시
37.722816,128.962893,버당말,bus_stop,platform,강릉시
37.850338,128.773533,버들교,bus_stop,platform,강릉시
37.850289,128.774171,버들교,bus_stop,platform,강릉시
37.722278,128.917997,버들교,bus_stop,platform,강릉시
37.72225,128.917883,버들교,bus_stop,platform,강릉시
37.586338,128.777526,벌말,bus_stop,platform,강릉시
37.586073,128.777795,벌말,bus_stop,platform,강릉시
37.785209,128.87351,법원.검찰청,bus_stop,platform,강릉시
37.785095,128.874017,법원.검찰청,bus_stop,platform,강릉시
37.748157,128.908446,병무청,bus_stop,platform,강릉시
37.7498,128.907293,병무청,bus_stop,platform,강릉시
37.74399,128.88303,보건소,bus_stop,platform,강릉시
37.743668,128.882244,보건소,bus_stop,platform,강릉시
37.687842,128.973369,보건진료소,bus_stop,platform,강릉시
37.687824,128.973267,보건진료소,bus_stop,platform,강릉시
37.72105,128.816884,보광리입구,bus_stop,platform,강릉시
37.721182,128.816906,보광리입구,bus_stop,platform,강릉시
37.738111,128.807537,보광리체험학습장,bus_stop,platform,강릉시
37.737995,128.807851,보광리체험학습장,bus_stop,platform,강릉시
37.738167,128.807776,보광리체험학습장,bus_stop,platform,강릉시
37.738142,128.805525,보광보건진료소,bus_stop,platform,강릉시
37.738068,128.805486,보광보건진료소,bus_stop,platform,강릉시
37.746254,128.799358,보광본동,bus_stop,platform,강릉시
37.746238,128.799466,보광본동,bus_stop,platform,강릉시
37.738211,128.802699,보광평,bus_stop,platform,강릉시
37.738303,128.802731,보광평,bus_stop,platform,강릉시
37.736303,128.897846,보리사입구,bus_stop,platform,강릉시
37.736359,128.897752,보리사입구,bus_stop,platform,강릉시
37.90203,128.825706,보성연립,bus_stop,platform,강릉시
37.901954,128.825621,보성연립,bus_stop,platform,강릉시
37.738134,128.792771,보현사종점,bus_stop,platform,강릉시
37.840416,128.6565,부연동입구,bus_stop,platform,강릉시
