위도,경도,public_transport,bus,operator,name,passenger_information_display
37.7469,127.0413667,platform,yes,경기도 의정부시,의정부여고.가능역,yes
37.7466833,127.0391167,platform,yes,경기도 의정부시,의정부공업고등학교,yes
37.7494,127.1098833,platform,yes,경기도 의정부시,활기체육공원.우미린아파트앞,yes
37.7500333,127.1110333,platform,yes,경기도 의정부시,활기체육공원.우미린아파트앞,yes
37.72625,127.0943,platform,yes,경기도 의정부시,의정부교도소,yes
37.7306667,127.08425,platform,yes,경기도 의정부시,만가대.솔뫼중학교,yes
37.7336,127.0794833,platform,yes,경기도 의정부시,용현주공아파트.306보충대,yes
37.7505167,127.0419167,platform,yes,경기도 의정부시,의정부여자고등학교후문,yes
37.74765,127.0291,platform,yes,경기도 의정부시,미2사단앞,yes
37.7466333,127.0328833,platform,yes,경기도 의정부시,(구)시민회관,yes
37.7507,127.0674333,platform,yes,경기도 의정부시,금오현대아이파크아파트,yes
37.7516833,127.0714667,platform,yes,경기도 의정부시,홈플러스,yes
37.7445833,127.0597333,platform,yes,경기도 의정부시,신성벽산아파트앞,yes
37.7428667,127.0575167,platform,yes,경기도 의정부시,은하수아파트,yes
37.7422833,127.0230333,platform,yes,경기도 의정부시,동명빌라,yes
37.7374167,127.0132833,platform,yes,경기도 의정부시,상직동,yes
37.74275,127.0231833,platform,yes,경기도 의정부시,동명빌라,yes
37.7435333,127.0557833,platform,yes,경기도 의정부시,시외버스터미널,yes
37.7473167,127.0637,platform,yes,경기도 의정부시,의정부우체국,yes
37.748,127.0670833,platform,yes,경기도 의정부시,드림밸리아파트앞,yes
37.7484,127.0698833,platform,yes,경기도 의정부시,경기도청북부청사,yes
37.7490833,127.07245,platform,yes,경기도 의정부시,경기도청북부청사.신곡새마을금고.삼성래미안아파트앞,yes
