위도,경도,name,operator,source:date
37.80042,127.63871,방곡1리,춘천시,2019-11-27
37.80055,127.63856,방곡1리,춘천시,2019-11-27
37.79751,127.63981,방곡1리,춘천시,2019-11-27
37.79493,127.64222,방곡1리,춘천시,2019-11-27
37.73898,127.62421,발산치안센터,춘천시,2019-11-27
37.73904,127.62433,발산2리,춘천시,2019-11-27
37.96278,127.76653,발산리종점,춘천시,2019-11-27
37.9557,127.76118,발산2리,춘천시,2019-11-27
37.9576,127.76292,발산2리,춘천시,2019-11-27
37.96058,127.76571,발산2리,춘천시,2019-11-27
37.96049,127.76571,발산2리,춘천시,2019-11-27
37.96167,127.7623,발산2리,춘천시,2019-11-27
37.73884,127.63121,발산2리,춘천시,2019-11-27
37.73875,127.63129,발산2리,춘천시,2019-11-27
37.95991,127.75559,발산1리,춘천시,2019-11-27
37.95119,127.74721,발산1리,춘천시,2019-11-27
37.73516,127.61089,발산1리,춘천시,2019-11-27
37.73504,127.61095,발산1리,춘천시,2019-11-27
37.74352,127.62399,발산,춘천시,2019-11-27
37.74359,127.62411,발산,춘천시,2019-11-27
37.74579,127.71021,광판2리,춘천시,2019-11-27
37.74516,127.71003,반이동,춘천시,2019-11-27
37.74014,127.57307,가정중학교,춘천시,2019-11-27
37.7413,127.57241,가정1리회관앞,춘천시,2019-11-27
37.7253,127.5439,박암리,춘천시,2019-11-27
37.72373,127.53776,박암리,춘천시,2019-11-27
37.72324,127.5387,박암리,춘천시,2019-11-27
37.7252,127.544,박암리,춘천시,2019-11-27
37.76994,127.70221,밀알재활원,춘천시,2019-11-27
37.76988,127.70226,밀알재활원,춘천시,2019-11-27
37.87352,127.73406,동부새마을금고,춘천시,2019-11-27
37.87333,127.73415,미려골,춘천시,2019-11-27
37.88933,127.75169,문화주택,춘천시,2019-11-27
37.873,127.7269,문화예술회관,춘천시,2019-11-27
37.87294,127.72712,문화예술회관,춘천시,2019-11-27
37.77005,127.76382,논골입구,춘천시,2019-11-27
37.76754,127.76566,모래재,춘천시,2019-11-27
37.89998,127.73468,명진학교,춘천시,2019-11-27
37.88325,127.62953,덕두2리종점,춘천시,2019-11-27
37.87912,127.72627,명동입구,춘천시,2019-11-27
37.85446,127.71029,멸공훈련장,춘천시,2019-11-27
37.85453,127.71015,멸공훈련장,춘천시,2019-11-27
37.946,127.75178,면허시험장입구,춘천시,2019-11-27
