위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자
33.4495604,126.9145295,휴게음식점,성산커피,제주특별자치도 서귀포시 성산읍 고성오조로 65 1층,제주특별자치도 서귀포시 성산읍 고성리 1131번지 7호 ,2018-02-23
33.2862497,126.3077305,휴게음식점,카페소리,제주특별자치도 서귀포시 안덕면 중산간서로 1981,제주특별자치도 서귀포시 안덕면 서광리 1611번지 1호 ,2018-02-23
33.255487,126.5686054,휴게음식점,엘에이만화카페,제주특별자치도 서귀포시 일주동로 8717 1층 (서귀동),제주특별자치도 서귀포시 서귀동 330번지 1호 ,2018-02-23
33.3515083,126.7663005,휴게음식점,구면카페,제주특별자치도 서귀포시 표선면 중산간동로5220번길 47,제주특별자치도 서귀포시 표선면 가시리 2317번지 2호 ,2018-02-23
33.2426579,126.5672071,휴게음식점,씨유자구리점,제주특별자치도 서귀포시 솔동산로21번길 31 1층 (서귀동),제주특별자치도 서귀포시 서귀동 31번지 11호 ,2018-02-23
33.2501281,126.5626331,휴게음식점,서귀포올레마늘통닭,제주특별자치도 서귀포시 중정로61번길 25 1층 (서귀동),제주특별자치도 서귀포시 서귀동 291번지 1호 ,2018-02-23
33.2471642,126.5637782,휴게음식점,배배,제주특별자치도 서귀포시 명동로 16 1층 (서귀동),제주특별자치도 서귀포시 서귀동 418번지 28호 ,2018-02-23
33.226749,126.2988233,휴게음식점,GS25중문사거리점,제주특별자치도 서귀포시 중문로 80 (중문동),제주특별자치도 서귀포시 중문동 1351번지 1호 ,2018-02-23
33.2593546,126.5598592,휴게음식점,개다방,제주특별자치도 서귀포시 중앙로 166 (동홍동),제주특별자치도 서귀포시 동홍동 1554번지 4호 ,2018-02-23
33.2440867,126.5624219,휴게음식점,GS25서귀솔동산점,제주특별자치도 서귀포시 솔동산로 20 1층 (서귀동),제주특별자치도 서귀포시 서귀동 716번지 5호 ,2018-02-23
33.2536595,126.5087211,휴게음식점,머니까페,제주특별자치도 서귀포시 신서로48번길 31 1층 (강정동),제주특별자치도 서귀포시 강정동 161번지 1호 ,2018-02-23
33.2225934,126.2515947,휴게음식점,제주설심당모슬포점,제주특별자치도 서귀포시 대정읍 신영로 73 2층,제주특별자치도 서귀포시 대정읍 하모리 1048번지 4호 ,2018-02-23
33.2569055,126.5728955,휴게음식점,효소하우스,제주특별자치도 서귀포시 동홍남로 81 1층 (동홍동),제주특별자치도 서귀포시 동홍동 103번지 9호 ,2018-02-23
33.3255023,126.8341283,휴게음식점,영화분식,제주특별자치도 서귀포시 표선면 표선중앙로96번길 1 1층,제주특별자치도 서귀포시 표선면 표선리 634번지 21호 ,2018-02-23
