위도,경도,amenity,name,addr:full
37.43258398,127.129869,bar,피아노,"경기도 성남시 중원구 성남대로1148번길 5-1, 지층 (성남동)"
37.43357682,127.1314108,bar,샴푸나이트,"경기도 성남시 중원구 광명로 21, 2층 (성남동)"
37.44011394,127.1478247,bar,대망,"경기도 성남시 중원구 산성대로 272-13, 지,1층 (중앙동)"
37.43625553,127.1409568,bar,임금님,"경기도 성남시 중원구 광명로 111, 지층 (성남동)"
37.43357682,127.1314108,bar,별밤가요리믹스,"경기도 성남시 중원구 광명로 21, 지1층 (성남동)"
37.43293866,127.1306542,bar,매니져,"경기도 성남시 중원구 광명로 14, 지층 (성남동)"
37.43271832,127.1306048,bar,아톰,"경기도 성남시 중원구 광명로 12-3, 지층 (성남동)"
37.43300783,127.1308435,bar,무궁화,"경기도 성남시 중원구 광명로 14-1, 지층 (성남동)"
37.4330251,127.1311097,bar,스카이,"경기도 성남시 중원구 광명로16번길 3, 지층 (성남동)"
37.43322467,127.1319216,bar,캐슬,"경기도 성남시 중원구 광명로 24-1, 지층 (성남동)"
37.43233345,127.1297518,bar,에브리,"경기도 성남시 중원구 성남대로1148번길 4, 2층 (성남동)"
37.43164769,127.1299098,bar,쿨,"경기도 성남시 중원구 성남대로1140번길 3, 지층 (성남동)"
37.43290818,127.1316462,bar,오렌지노래밤,"경기도 성남시 중원구 성남대로1148번길 21-1, 지층 (성남동)"
37.43299278,127.1318973,bar,캔디,"경기도 성남시 중원구 성남대로1148번길 25, 2층 (성남동)"
37.43329438,127.1304923,bar,수정,경기도 성남시 중원구 광명로 11 (성남동)
37.4328135,127.1299263,bar,황진이노래빵,"경기도 성남시 중원구 광명로 6, 지층 (성남동)"
37.43309419,127.1312089,bar,쉬리노래빵,"경기도 성남시 중원구 광명로 18, 2층 (성남동)"
37.43320652,127.1301738,bar,오렌지빵,"경기도 성남시 중원구 광명로 9, 지층 (성남동)"
37.43991986,127.1473922,bar,여인천하,"경기도 성남시 중원구 산성대로 268-14, 1층 (중앙동)"
37.43304811,127.1317306,bar,야생화,"경기도 성남시 중원구 광명로 22-1, 지층 (성남동)"
37.43309963,127.1315848,bar,심쿵노래짱,"경기도 성남시 중원구 광명로 22, 지층 (성남동)"
37.43520269,127.1579257,bar,미궁가요클럽,"경기도 성남시 중원구 희망로 329, 2층 (상대원동)"
37.43339611,127.1310556,bar,써니,"경기도 성남시 중원구 광명로 17, 지층 (성남동)"
37.42999834,127.1301132,bar,스페인,"경기도 성남시 중원구 둔촌대로101번길 3, 지층 (성남동)"
37.43991119,127.1467539,bar,진달래,"경기도 성남시 중원구 산성대로 262-10, 지층 (중앙동)"
37.43936502,127.1464425,bar,승화,"경기도 성남시 중원구 시민로118번길 14, 지,1층 (중앙동)"
37.439659,127.1471137,bar,하와이,"경기도 성남시 중원구 광명로 177-5, 지,1층 (중앙동)"
37.439659,127.1471137,bar,천화수,"경기도 성남시 중원구 광명로 177-5, 지,1층 (중앙동)"
37.43544188,127.1394697,bar,짱,"경기도 성남시 중원구 광명로 95, 지층 (성남동)"
37.4358823,127.1393908,bar,국빈관관광나이트,"경기도 성남시 중원구 산성대로 176-7, 2,3,4층 (성남동)"
37.43941992,127.1457619,bar,보물단지,"경기도 성남시 중원구 산성대로 250-11, 지,1층 (중앙동)"
37.43369148,127.1344118,bar,오페라,"경기도 성남시 중원구 광명로 48, 지층 (성남동)"
37.43242061,127.1284877,bar,팡팡노래빠,"경기도 성남시 중원구 성남대로1151번길 3, 지층 (성남동)"
37.43178482,127.1298318,bar,핑클노래빵,"경기도 성남시 중원구 둔촌대로101번길 23, 지층 (성남동)"
37.4323505,127.1298916,bar,모래시계,경기도 성남시 중원구 둔촌대로101번길 29 (성남동)
37.43361628,127.1341401,bar,베스트노래빠,경기도 성남시 중원구 광명로 44-1 (성남동)
37.4339605,127.1356103,bar,킹노래빠,"경기도 성남시 중원구 광명로 58, 지층 (성남동)"
37.43293021,127.1315296,bar,애플 노래밤,"경기도 성남시 중원구 성남대로1148번길 21, 지층 (성남동)"
37.44332197,127.1544022,bar,쿨노래바,"경기도 성남시 중원구 산성대로 340, 3층 (중앙동)"
37.44300791,127.1538211,bar,아리아리노래빠,"경기도 성남시 중원구 산성대로 336-2, 2층 (중앙동)"
37.44336506,127.1545898,bar,궁노래빵,"경기도 성남시 중원구 산성대로 340-1, 지1층 (중앙동)"
37.44353045,127.1548289,bar,허브노래짱,"경기도 성남시 중원구 산성대로 344-1, 2층 (중앙동)"
37.4400056,127.1461894,bar,퀸노래바,"경기도 성남시 중원구 산성대로 258-1, 4층 (중앙동)"
37.43330072,127.1298909,bar,모란 스텐드바,"경기도 성남시 중원구 광명로 7, 지층 (성남동)"
37.44417318,127.1563005,bar,애플노래빵,"경기도 성남시 중원구 산성대로360번길 3, 지하1층 (중앙동)"
