지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,보수종류,보수공종,연장,면적,폭원,차도포장재질,보도포장재질,이전차도포장재질,이전보도포장재질,대장초기화여부,구분ID,경도,위도
차도포장,160015,명정동,348021902B,통영시,160040,RD20170001,신설,미분류,664.9,6838.23,10,아스팔트콘크리트,미분류,미분류,미분류,1,94,128.4083345,34.84917988
차도포장,160016,도천동,348021912B,통영시,160035,RD20170001,신설,미분류,19.51,5403.38,24,아스팔트콘크리트,미분류,미분류,미분류,1,95,128.4079876,34.84288243
차도포장,160017,도천동,348021912D,통영시,160032,RD20170001,신설,미분류,10.93,1091.04,16,아스팔트콘크리트,미분류,미분류,미분류,1,96,128.4088609,34.8420873
차도포장,160018,도천동,348021912D,통영시,160034,RD20170001,신설,미분류,33.11,2773.65,19.4,아스팔트콘크리트,미분류,미분류,미분류,1,97,128.4084283,34.84167783
차도포장,160020,도천동,348021922D,통영시,160028,RD20170001,신설,미분류,209.9,4831.72,22,아스팔트콘크리트,미분류,미분류,미분류,1,98,128.4075008,34.83717642
차도포장,160021,도천동,348021922C,통영시,160027,RD20170001,신설,미분류,44.5,3471.62,19.5,아스팔트콘크리트,미분류,미분류,미분류,1,99,128.4071553,34.83592893
차도포장,160022,,348021932A,통영시,160025,RD20170001,신설,미분류,316.2,7126.66,25,아스팔트콘크리트,미분류,미분류,미분류,1,100,128.4062084,34.83442192
차도포장,160023,,348021931B,통영시,160016,RD20170001,신설,미분류,7.72,723.9,37,아스팔트콘크리트,미분류,미분류,미분류,1,101,128.4047558,34.83336351
차도포장,160024,,348021931B,통영시,160015,RD20170001,신설,미분류,70.04,1460.98,20,아스팔트콘크리트,미분류,미분류,미분류,1,102,128.4043056,34.83352016
차도포장,160025,도천동,348021902D,통영시,160039,RD20170001,신설,미분류,11.86,123.34,10,아스팔트콘크리트,미분류,미분류,미분류,1,103,128.4075969,34.8462215
차도포장,160026,도천동,348021902D,통영시,160038,RD20170001,신설,미분류,10.44,112.83,11,아스팔트콘크리트,미분류,미분류,미분류,1,104,128.4075823,34.84612241
차도포장,160027,도천동,348021912B,통영시,160045,RD20170001,신설,미분류,250,2701.2,10,아스팔트콘크리트,미분류,미분류,미분류,1,105,128.4077894,34.84493926
차도포장,160028,도천동,348021902D,통영시,160046,RD20170001,신설,미분류,8.19,87.37,11,아스팔트콘크리트,미분류,미분류,미분류,1,106,128.4079113,34.84613246
차도포장,160029,도천동,348021912B,통영시,160037,RD20170001,신설,미분류,250.7,2605.05,10,아스팔트콘크리트,미분류,미분류,미분류,1,107,128.4075311,34.8449541
차도포장,160030,명정동,348021483B,통영시,160050,RD20170001,신설,미분류,47.12,336.67,6,아스팔트콘크리트,미분류,미분류,미분류,1,108,128.4138984,34.85813394
차도포장,160031,명정동,348021483B,통영시,160003,RD20170001,신설,미분류,4.47,175.86,10,아스팔트콘크리트,미분류,미분류,미분류,1,109,128.413832,34.85785303
보도포장,160032,도천동,348021912D,통영시,160030,RD20170001,신설,미분류,110.42,278.15,2.5,미분류,소형고압블럭,미분류,미분류,1,110,128.4084042,34.84079575
보도포장,160033,도천동,348021912D,통영시,160035,RD20170001,신설,미분류,34.92,89.96,2.6,미분류,소형고압블럭,미분류,미분류,1,111,128.4080522,34.84205206
보도포장,160034,도천동,348021912D,통영시,160034,RD20170001,신설,미분류,52.36,134.62,3,미분류,소형고압블럭,미분류,미분류,1,112,128.4086438,34.8415679
보도포장,160035,도천동,348021912D,통영시,160034,RD20170001,신설,미분류,70.31,179.48,2.6,미분류,소형고압블럭,미분류,미분류,1,113,128.4082021,34.84159656
보도포장,160036,도천동,348021912D,통영시,160030,RD20170001,신설,미분류,115.54,299.16,2.5,미분류,소형고압블럭,미분류,미분류,1,114,128.4086541,34.84083149
보도포장,160037,도천동,348021922B,통영시,160029,RD20170001,신설,미분류,262.25,660.85,2.5,미분류,소형고압블럭,미분류,미분류,1,115,128.4084989,34.83913923
