위도,경도,amenity,name,addr:full,source,source:date,shop,branch,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,addr:housename
33.2468871,126.3361886,restaurant,화순에덴분식,,공공데이터포털,2018-02-23,,,,화순로,96,안덕면,,,,
33.2486729,126.5627846,cafe,만호다방,,공공데이터포털,2018-02-23,,,,중정로61번길,9,서귀동,,,,
33.416346,126.889907,restaurant,호떡분식,,공공데이터포털,2018-02-23,,,,일주동로,4227,성산읍,,,,
33.250057,126.5612414,cafe,블랙다방,,공공데이터포털,2018-02-23,,,,중앙로59번길,4,서귀동,,,,
33.2487995,126.5083874,restaurant,커피볶는집오즈비,,공공데이터포털,2018-02-23,,,,일주동로,9217,법환동,,,,
33.2385976,126.6026817,restaurant,앞바당,,공공데이터포털,2018-02-23,,,,보목로70번길,8,보목동,,,,
33.3252096,126.8323332,restaurant,큰손왕만두,,공공데이터포털,2018-02-23,,,,표선동서로,239,표선면,,,,
33.2232785,126.2583373,cafe,수지다방,,공공데이터포털,2018-02-23,,,,상모로290번길,2,대정읍,,,,
33.3056347,126.7921182,restaurant,올래,,공공데이터포털,2018-02-23,,,,일주동로,6347-17,표선면,,,,
33.449765,126.9147281,restaurant,먹보왕만두동남점,,공공데이터포털,2018-02-23,,,,고성동서로56번길,18,성산읍,,,,
33.2504381,126.5676971,restaurant,제주인화찐빵,,공공데이터포털,2018-02-23,,,,동홍로,19,서귀동,,,,
33.2493773,126.5634319,restaurant,덕이죽집,,공공데이터포털,2018-02-23,,,,중앙로48번길,17,서귀동,,,,
