위도,경도,amenity,name,addr:full,source,source:date
33.2216363,126.2515553,restaurant,김서방연탄구이,제주특별자치도 서귀포시 대정읍 하모상가로 25,공공데이터포털,2018-02-23
33.2191275,126.2513124,restaurant,항구식당,제주특별자치도 서귀포시 대정읍 하모항구로 64,공공데이터포털,2018-02-23
33.2225942,126.248255,restaurant,수정식당,제주특별자치도 서귀포시 대정읍 신영로37번길 1,공공데이터포털,2018-02-23
33.2285542,126.3054478,restaurant,덕성식당,제주특별자치도 서귀포시 안덕면 사계남로 145,공공데이터포털,2018-02-23
33.3865936,126.8015003,restaurant,정의골식당,제주특별자치도 서귀포시 표선면 성읍정의현로34번길 36,공공데이터포털,2018-02-23
33.3202655,126.8302759,restaurant,환영식당,제주특별자치도 서귀포시 표선면 표선동서로 180,공공데이터포털,2018-02-23
33.4486867,126.915859,restaurant,마이도,제주특별자치도 서귀포시 성산읍 동류암로 43-1,공공데이터포털,2018-02-23
33.4626117,126.9346099,restaurant,일출봉등경돌,제주특별자치도 서귀포시 성산읍 일출로 279,공공데이터포털,2018-02-23
33.4629013,126.9347408,restaurant,제주랑,제주특별자치도 서귀포시 성산읍 성산중앙로40번길 14,공공데이터포털,2018-02-23
33.2302184,126.3089494,restaurant,남경미락,제주특별자치도 서귀포시 안덕면 사계남로 190-7,공공데이터포털,2018-02-23
33.3997099,126.8059435,restaurant,성읍버들집,제주특별자치도 서귀포시 표선면 서성일로 103,공공데이터포털,2018-02-23
33.279117,126.7218125,restaurant,옛장터가든,제주특별자치도 서귀포시 남원읍 태위로700번길 7,공공데이터포털,2018-02-23
33.4485794,126.9160712,restaurant,맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 41,공공데이터포털,2018-02-23
33.222509,126.2549586,restaurant,돌구들장오겹살,제주특별자치도 서귀포시 대정읍 상모로 322,공공데이터포털,2018-02-23
33.4489266,126.9170058,restaurant,부촌식당,제주특별자치도 서귀포시 성산읍 동류암로 33,공공데이터포털,2018-02-23
33.4643213,126.9336864,restaurant,서울훈이네식당,제주특별자치도 서귀포시 성산읍 성산등용로 3,공공데이터포털,2018-02-23
33.2410335,126.5617669,restaurant,제주해풍,제주특별자치도 서귀포시 칠십리로 41 (서귀동),공공데이터포털,2018-02-23
33.2520261,126.40774,restaurant,중문CC육모정,제주특별자치도 서귀포시 중문관광로72번길 60 (색달동),공공데이터포털,2018-02-23
33.2520261,126.40774,restaurant,중문CC사모정,제주특별자치도 서귀포시 중문관광로72번길 60 (색달동),공공데이터포털,2018-02-23
33.2520261,126.40774,restaurant,중문CC클럽하우스,제주특별자치도 서귀포시 중문관광로72번길 60 (색달동),공공데이터포털,2018-02-23
33.2509258,126.6198381,restaurant,만금식당,제주특별자치도 서귀포시 하효중앙로 4 (하효동),공공데이터포털,2018-02-23
33.2402283,126.5626964,restaurant,원담,제주특별자치도 서귀포시 칠십리로 59 (서귀동),공공데이터포털,2018-02-23
33.2403352,126.564774,restaurant,맛드리분식,제주특별자치도 서귀포시 부두로 53 (서귀동),공공데이터포털,2018-02-23
33.2405568,126.5620999,restaurant,방파제,제주특별자치도 서귀포시 칠십리로 49 (서귀동),공공데이터포털,2018-02-23
33.2489467,126.558165,restaurant,수궁식당,제주특별자치도 서귀포시 중정로5번길 19 (서귀동),공공데이터포털,2018-02-23
33.2497641,126.5635104,restaurant,올레서귀포청정횟집,제주특별자치도 서귀포시 중앙로54번길 36 (서귀동),공공데이터포털,2018-02-23
33.256793,126.4107913,restaurant,천제연토속,제주특별자치도 서귀포시 천제연로 45 (색달동),공공데이터포털,2018-02-23
33.2479606,126.5681786,restaurant,나들이분식,제주특별자치도 서귀포시 정방로 7-2 (서귀동),공공데이터포털,2018-02-23
33.2473714,126.5656333,restaurant,락타이,제주특별자치도 서귀포시 명동로 34 (서귀동),공공데이터포털,2018-02-23
33.2437362,126.5684642,restaurant,새만부정,제주특별자치도 서귀포시 칠십리로 135 (서귀동),공공데이터포털,2018-02-23
