경도,위도,ref,name,short_name,name:ko,highway,public_transport
36.09271861,128.4031528,10383,동락공원4주차장,동락공원4주차장,동락공원4주차장,bus_stop,platform
36.10720185,128.418282,10568,삼성전자후문,삼성전자후문,삼성전자후문,bus_stop,platform
36.12390382,128.5280619,10276,여남리(장천버스터미널종점방면),여남리,여남리(장천버스터미널종점방면),bus_stop,platform
36.14416619,128.5236164,10604,묵어2리(하장3거리방면),묵어2리,묵어2리(하장3거리방면),bus_stop,platform
36.12369639,128.4960284,10010,오상중고등학교건너,오상중고등학교,오상중고등학교건너,bus_stop,platform
36.13232491,128.4305447,10638,가라골건너,가라골,가라골건너,bus_stop,platform
36.13036909,128.456727,10733,와례마을입구(성호철강방면),와례마을입구,와례마을입구(성호철강방면),bus_stop,platform
36.13902837,128.4621311,10723,임천리입구(임봉초등학교방면),임천리입구,임천리입구(임봉초등학교방면),bus_stop,platform
36.13936532,128.4590694,10721,임봉초등학교앞,임봉초등학교,임봉초등학교앞,bus_stop,platform
36.14058382,128.4558672,10737,임봉정류장(영진하이텍방면),임봉정류장,임봉정류장(영진하이텍방면),bus_stop,platform
36.13642109,128.4744463,10731,임천부처방(임천리몽대방면),임천부처방,임천부처방(임천리몽대방면),bus_stop,platform
36.13817617,128.4660463,10640,임천리몽대,임천리등대,임천리몽대,bus_stop,platform
36.13848172,128.440706,10557,외국인전용단지입구,외국인전용단지입,외국인전용단지입구,bus_stop,platform
36.1403137,128.4479134,10574,에이에스티앞,에이에스티앞,에이에스티앞,bus_stop,platform
36.14086196,128.4517336,10695,영진하이텍앞,영진하이텍,영진하이텍앞,bus_stop,platform
36.13653703,128.421135,10550,이주단지(4공단입구방면),이주단지,이주단지(4공단입구방면),bus_stop,platform
36.13651701,128.4243603,10086,양포동행정복지센터,양포동주민센터,양포동행정복지센터,bus_stop,platform
36.14083988,128.4402798,10554,구미전자정보기술원(청년창업랩),구미전자정보기술,구미전자정보기술원(청년창업랩),bus_stop,platform
36.13544819,128.3814329,10552,양호동종점,양호동종점,양호동종점,bus_stop,platform
36.12907707,128.391727,10563,양호동빈수골(금오공대입구방면),양호동빈수골,양호동빈수골(금오공대입구방면),bus_stop,platform
36.1210508,128.3857179,10378,엘지연수원건너,엘지연수원,엘지연수원건너,bus_stop,platform
36.13846753,128.4207092,10625,삼구아파트,삼구아파트,삼구아파트,bus_stop,platform
36.13640645,128.4114203,10278,옥계중학교건너,옥계중학교,옥계중학교건너,bus_stop,platform
36.14118941,128.4894718,10392,묵어리(하장3거리방면),묵어리,묵어리(하장3거리방면),bus_stop,platform
36.15070395,128.4897665,10024,상림리입구(묵어리방면),상림리입구,상림리입구(묵어리방면),bus_stop,platform
36.16205471,128.467186,10026,경운대학교입구건너,경운대학입구,경운대학교입구건너,bus_stop,platform
36.16706214,128.4677203,10023,경운대학교,경운대학교,경운대학교,bus_stop,platform
36.16240128,128.4664116,10732,경운대학교입구(교외방면),경운대학입구,경운대학교입구(교외방면),bus_stop,platform
36.16352235,128.4600133,10690,임천리입구(의우총입구방면),임천리입구,임천리입구(의우총입구방면),bus_stop,platform
36.16299255,128.4633719,10253,의우총입구건너,의우총입구,의우총입구건너,bus_stop,platform
36.16697197,128.4254724,10745,적림구미마을건너,동우주택,적림구미마을건너,bus_stop,platform
36.16725613,128.4294341,10282,적림리(산동버스정류장방면),적림리,적림리(산동버스정류장방면),bus_stop,platform
36.18042957,128.4004772,10281,문량리(괴곡리방면),문량리,문량리(괴곡리방면),bus_stop,platform
36.18253371,128.3982451,10058,문량리(괴곡2리방면),문량리,문량리(괴곡2리방면),bus_stop,platform
36.16706951,128.415797,10056,괴곡3거리,괴곡3거리,괴곡3거리,bus_stop,platform
36.17740948,128.4081792,10054,괴곡2리(괴곡1리방면),괴곡2리,괴곡2리(괴곡1리방면),bus_stop,platform
36.17264163,128.4134956,10602,괴곡1리(괴곡3거리방면),괴곡1리,괴곡1리(괴곡3거리방면),bus_stop,platform
36.19046187,128.3951137,10600,오상리새마을금고앞(문량리방면),오상리새마을금고,오상리새마을금고앞(문량리방면),bus_stop,platform
36.18671448,128.3977019,10085,오상리(문량리방면),오상리,오상리(문량리방면),bus_stop,platform
36.11118287,128.4040831,10751,구미전자공고입구,구미전자공고입구,구미전자공고입구,bus_stop,platform
36.11117266,128.4117341,10559,SK실트론1공장,SK실트론1공장,SK실트론1공장,bus_stop,platform
36.1111251,128.4086556,10621,"엘지디스플레이2,3공장",엘지디스플레이공장,"엘지디스플레이2,3공장",bus_stop,platform
36.13972754,128.4176605,10115,옥계부영아파트앞,옥계부영아파트,옥계부영아파트앞,bus_stop,platform
36.13372181,128.4166271,10004,구포동(구포전원타운방면),구포동,구포동(구포전원타운방면),bus_stop,platform
36.13604604,128.4170425,10620,거상빌딩,거상빌딩,거상빌딩,bus_stop,platform
