위도,경도,highway,bus,public_transport,name,ref,source,source:date
35.64104423,129.4325342,bus_stop,yes,platform,신명천,14014,공공데이터포털,2020-07-27
35.64107562,129.3575573,bus_stop,yes,platform,월드메르디앙2단지,14101,공공데이터포털,2020-07-27
35.64129028,129.3576381,bus_stop,yes,platform,월드메르디앙2단지,14102,공공데이터포털,2020-07-27
35.64050558,129.3586709,bus_stop,yes,platform,월드메르디앙1단지,14103,공공데이터포털,2020-07-27
35.64011874,129.359927,bus_stop,yes,platform,월드메르디앙1단지,14104,공공데이터포털,2020-07-27
35.63970552,129.360227,bus_stop,yes,platform,매곡,14105,공공데이터포털,2020-07-27
35.63990467,129.3602909,bus_stop,yes,platform,매곡종점,14106,공공데이터포털,2020-07-27
35.63936285,129.3636419,bus_stop,yes,platform,매곡,14107,공공데이터포털,2020-07-27
35.63935853,129.3635631,bus_stop,yes,platform,매곡,14108,공공데이터포털,2020-07-27
35.63985536,129.3618899,bus_stop,yes,platform,매곡,14110,공공데이터포털,2020-07-27
35.6363013,129.3633057,bus_stop,yes,platform,"매곡에일린의뜰1,2차",14111,공공데이터포털,2020-07-27
35.63703568,129.3635909,bus_stop,yes,platform,"매곡에일린의뜰1,2차",14112,공공데이터포털,2020-07-27
35.63886107,129.3622882,bus_stop,yes,platform,마동,14114,공공데이터포털,2020-07-27
35.63870316,129.3621276,bus_stop,yes,platform,마동,14115,공공데이터포털,2020-07-27
35.64575989,129.3257246,bus_stop,yes,platform,천곡,14201,공공데이터포털,2020-07-27
35.64578246,129.3257923,bus_stop,yes,platform,천곡,14202,공공데이터포털,2020-07-27
35.64273777,129.3293635,bus_stop,yes,platform,천곡회관앞,14203,공공데이터포털,2020-07-27
35.64277529,129.3294223,bus_stop,yes,platform,천곡회관앞,14204,공공데이터포털,2020-07-27
35.65073104,129.3191031,bus_stop,yes,platform,선창골못,14205,공공데이터포털,2020-07-27
35.65099956,129.3186661,bus_stop,yes,platform,선창골못,14206,공공데이터포털,2020-07-27
35.65300851,129.3142379,bus_stop,yes,platform,관문성입구,14207,공공데이터포털,2020-07-27
35.65304698,129.3142873,bus_stop,yes,platform,관문성입구,14208,공공데이터포털,2020-07-27
35.63425081,129.3297663,bus_stop,yes,platform,달천 아이파크1차,14209,공공데이터포털,2020-07-27
