위도,경도,name,public_transport,bus,addr:subdistrict,highway,source
35.971112,126.675146,원산북삼거리,platform,yes,산북동,bus_stop,공공데이터포털
36.022105,126.800113,원서포마을,platform,yes,나포면,bus_stop,공공데이터포털
36.022099,126.800222,원서포마을,platform,yes,나포면,bus_stop,공공데이터포털
35.956567,126.723383,원예협동조합,platform,yes,수송동,bus_stop,공공데이터포털
36.011465,126.81943,원주곡마을,platform,yes,나포면,bus_stop,공공데이터포털
36.002073,126.898689,원화등,platform,yes,서수면,bus_stop,공공데이터포털
36.005715,126.899721,월암,platform,yes,서수면,bus_stop,공공데이터포털
35.958846,126.861424,술산초등학교,platform,yes,임피면,bus_stop,공공데이터포털
35.925352,126.85612,신광마을,platform,yes,대야면,bus_stop,공공데이터포털
35.905845,126.710518,신기,platform,yes,옥구읍,bus_stop,공공데이터포털
35.997929,126.896326,신기촌,platform,yes,서수면,bus_stop,공공데이터포털
35.998089,126.819216,대명,platform,yes,성산면,bus_stop,공공데이터포털
35.944696,126.813155,대야사거리,platform,yes,대야면,bus_stop,공공데이터포털
35.99282,126.707409,도선장,platform,yes,금동,bus_stop,공공데이터포털
36.003589,126.7905,동요,platform,yes,성산면,bus_stop,공공데이터포털
35.966189,126.715912,롯데마트,platform,yes,수송동,bus_stop,공공데이터포털
35.940194,126.768286,망동,platform,yes,옥산면,bus_stop,공공데이터포털
36.038184,126.859105,불주사입구,platform,yes,나포면,bus_stop,공공데이터포털
35.938981,126.530809,비응항,platform,yes,비응도동,bus_stop,공공데이터포털
35.96194,126.743722,사정삼거리,platform,yes,사정동,bus_stop,공공데이터포털
35.927164,126.620846,산동,platform,yes,옥서면,bus_stop,공공데이터포털
35.976009,126.709438,삼학대우아파트,platform,yes,삼학동,bus_stop,공공데이터포털
36.007866,126.901644,상금,platform,yes,서수면,bus_stop,공공데이터포털
35.92637,126.708027,상평광원마을,platform,yes,옥구읍,bus_stop,공공데이터포털
35.959516,126.729567,새군산충전소,platform,yes,미장동,bus_stop,공공데이터포털
35.919074,126.669398,서마산마을,platform,yes,옥구읍,bus_stop,공공데이터포털
35.983838,126.846026,서상마을,platform,yes,임피면,bus_stop,공공데이터포털
35.98218,126.877838,서수삼거리,platform,yes,서수면,bus_stop,공공데이터포털
35.958067,126.5872,인력개발원,platform,yes,소룡동,bus_stop,공공데이터포털
35.984004,126.849344,임피우체국,platform,yes,임피면,bus_stop,공공데이터포털
35.975167,126.606539,장산도사거리,platform,yes,소룡동,bus_stop,공공데이터포털
35.924915,126.627338,장전,platform,yes,옥서면,bus_stop,공공데이터포털
35.962608,126.69612,전자랜드,platform,yes,나운동,bus_stop,공공데이터포털
35.914568,126.744128,죽동,platform,yes,회현면,bus_stop,공공데이터포털
35.982631,126.724021,중동장,platform,yes,중동,bus_stop,공공데이터포털
35.910106,126.656322,중야,platform,yes,옥구읍,bus_stop,공공데이터포털
35.893672,126.725693,중야,platform,yes,회현면,bus_stop,공공데이터포털
35.975284,126.886966,창성,platform,yes,임피면,bus_stop,공공데이터포털
35.891596,126.844172,청하산,platform,yes,청하면,bus_stop,공공데이터포털
35.956257,126.667111,미성삼거리,platform,yes,산북동,bus_stop,공공데이터포털
35.973471,126.638616,퓨리나코리아,platform,yes,소룡동,bus_stop,공공데이터포털
36.013097,126.757115,하구둑,platform,yes,성산면,bus_stop,공공데이터포털
35.927922,126.718046,한림,platform,yes,옥산면,bus_stop,공공데이터포털
35.9816,126.680794,현대차서비스,platform,yes,소룡동,bus_stop,공공데이터포털
35.986076,126.766366,호덕교차로,platform,yes,개정면,bus_stop,공공데이터포털
35.913082,126.755928,회현중학교,platform,yes,회현면,bus_stop,공공데이터포털
35.913706,126.756054,회현중학교,platform,yes,회현면,bus_stop,공공데이터포털
35.974974,126.658831,OCI,platform,yes,소룡동,bus_stop,공공데이터포털
35.95269,126.648627,미성동,platform,yes,산북동,bus_stop,공공데이터포털
35.896077,126.676377,어은동,platform,yes,옥구읍,bus_stop,공공데이터포털
35.960028,126.541015,비응1호교,platform,yes,오식도동,bus_stop,공공데이터포털
35.95618,126.710875,의료원,platform,yes,지곡동,bus_stop,공공데이터포털
35.96575,126.774867,동정마을,platform,yes,개정면,bus_stop,공공데이터포털
