위도,경도,name,name:en,name:ko,highway,public_transport
37.736533,128.102744,장평리,Jangpyeong-ri,장평리,bus_stop,platform
37.736628,128.102807,장평리,Jangpyeong-ri,장평리,bus_stop,platform
37.751631,128.052663,장평리,Jangpyeong-ri,장평리,bus_stop,platform
37.690367,127.784279,장항리종점,Janghangnijongjeom,장항리종점,bus_stop,platform
37.720725,127.861432,재구교,Jaegugyo,재구교,bus_stop,platform
37.720686,127.861527,재구교,Jaegugyo,재구교,bus_stop,platform
37.717108,127.86057,재구부대,Jaegubudae,재구부대,bus_stop,platform
37.717116,127.860702,재구부대,Jaegubudae,재구부대,bus_stop,platform
37.640448,128.037237,저수지,Jeosuji,저수지,bus_stop,platform
37.640405,128.037393,저수지,Jeosuji,저수지,bus_stop,platform
37.777586,128.185986,절골,Jeolgol,절골,bus_stop,platform
37.777509,128.186084,절골,Jeolgol,절골,bus_stop,platform
37.80354,127.959807,절골입구,Jeolgoripgu,절골입구,bus_stop,platform
37.803626,127.959858,절골입구,Jeolgoripgu,절골입구,bus_stop,platform
37.80974,128.409159,절애,Jeorae,절애,bus_stop,platform
37.808798,128.409,절애,Jeorae,절애,bus_stop,platform
37.771965,128.127714,점말,Jeommal,점말,bus_stop,platform
37.772033,128.12761,점말,Jeommal,점말,bus_stop,platform
37.808475,128.05534,정신들,Jeongsindeul,정신들,bus_stop,platform
37.808389,128.055395,정신들,Jeongsindeul,정신들,bus_stop,platform
37.798111,127.860815,정해암,Jeonghaeam,정해암,bus_stop,platform
37.798047,127.860734,정해암,Jeonghaeam,정해암,bus_stop,platform
37.669887,128.0229,제1야수교,Je1Yasugyo,제1야수교,bus_stop,platform
37.669784,128.022869,제1야수교,Je1Yasugyo,제1야수교,bus_stop,platform
37.649131,127.773024,제곡,Jegok,제곡,bus_stop,platform
37.649226,127.773038,제곡,Jegok,제곡,bus_stop,platform
37.752339,128.036292,조가터,Jogateo,조가터,bus_stop,platform
37.752437,128.036197,조가터,Jogateo,조가터,bus_stop,platform
37.692008,127.891,종합군종합사회복지관,Jonghapgunjonghapsahoebokjigwan,종합군종합사회복지관,bus_stop,platform
37.637372,128.024798,좌운리,Jwaun-ri,좌운리,bus_stop,platform
37.637253,128.024685,좌운리,Jwaun-ri,좌운리,bus_stop,platform
37.63656,128.014783,좌운종점,Jwaunjongjeom,좌운종점,bus_stop,platform
37.636659,128.014605,좌운종점,Jwaunjongjeom,좌운종점,bus_stop,platform
37.692159,127.896809,주공아파트,Jugong Apt.,주공아파트,bus_stop,platform
37.692126,127.896523,주공아파트,Jugong Apt.,주공아파트,bus_stop,platform
37.710055,127.914466,주봉승강장,Jubongseunggangjang,주봉승강장,bus_stop,platform
37.710156,127.914409,주봉승강장,Jubongseunggangjang,주봉승강장,bus_stop,platform
37.716981,127.840827,주유소,Juyuso,주유소,bus_stop,platform
37.903507,128.039658,주유소앞,Juyusoap,주유소앞,bus_stop,platform
37.903446,128.039762,주유소앞,Juyusoap,주유소앞,bus_stop,platform
