위도,경도,name,name:ko,ref,highway,public_transport,passenger_information_display
37.2465796,127.4168194,안평2리,안평2리,32062,bus_stop,platform,yes
37.1297405,127.5208633,금당2리,금당2리,32794,bus_stop,platform,yes
37.1062397,127.5380341,설성초등학교입구,설성초등학교입구,32191,bus_stop,platform,yes
37.2534086,127.3889248,표교2리롯데아울렛,표교2리롯데아울렛,32044,bus_stop,platform,yes
37.253252,127.3888547,표교2리롯데아울렛,표교2리롯데아울렛,32045,bus_stop,platform,yes
37.2687142,127.4409497,현대홈타운,현대홈타운,32318,bus_stop,platform,yes
37.2648232,127.4422517,이천역,이천역,32514,bus_stop,platform,yes
37.2802164,127.4414599,천주교,천주교,32085,bus_stop,platform,yes
37.297726,127.4390567,동양아파트입구,동양아파트입구,32411,bus_stop,platform,yes
37.2545962,127.4569573,장록리,장록리,32375,bus_stop,platform,yes
37.2240816,127.4505413,이천태평교회앞,이천태평교회앞,32308,bus_stop,platform,yes
37.2268623,127.4504062,단월초교,단월초교,32839,bus_stop,platform,yes
37.2015742,127.4584428,부대앞,부대앞,32311,bus_stop,platform,yes
37.3101175,127.4013952,남정삼거리,남정삼거리,51255,bus_stop,platform,yes
37.3157116,127.4049117,신둔도예촌역,신둔도예촌역,32995,bus_stop,platform,yes
37.3365528,127.4425421,장동1리,장동1리,51038,bus_stop,platform,yes
37.3021614,127.3968905,소정리,소정리,32784,bus_stop,platform,yes
37.319473,127.4416194,도암초교,도암초교,32758,bus_stop,platform,yes
37.3298439,127.5157419,백우리,백우리,51183,bus_stop,platform,yes
37.3381338,127.4905203,백사초교.현방1리,백사초교.현방1리,51212,bus_stop,platform,yes
37.2594685,127.4904774,부발역,부발역,32477,bus_stop,platform,yes
37.2806157,127.4980328,죽당2리,죽당2리,32687,bus_stop,platform,yes
37.3018424,127.5405896,고백2리,고백2리,51144,bus_stop,platform,yes
37.2218183,127.480851,대대리아랫마을,대대리아랫마을,51137,bus_stop,platform,yes
37.2441485,127.4327732,양우아파트입구,양우아파트입구,51284,bus_stop,platform,yes
37.236044,127.4351463,유산4리,유산4리,32897,bus_stop,platform,yes
37.2231048,127.3999957,단천1리,단천1리,32327,bus_stop,platform,yes
37.2390998,127.4391495,유산3리,유산3리,32652,bus_stop,platform,yes
37.2065804,127.3568532,청강문화산업대입구,청강문화산업대입구,32006,bus_stop,platform,yes
37.2567747,127.354027,아름수리아파트,아름수리아파트,51278,bus_stop,platform,yes
37.1083084,127.5292587,분디2리,분디2리,32797,bus_stop,platform,yes
37.1063441,127.5378877,설성초등학교입구,설성초등학교입구,32192,bus_stop,platform,yes
37.1225806,127.6305014,기산아파트.노탑리,기산아파트.노탑리,32233,bus_stop,platform,yes
37.2779282,127.4510082,안흥유원지,안흥유원지,32103,bus_stop,platform,yes
37.2438148,127.4321831,드라마사거리,드라마사거리,51217,bus_stop,platform,yes
37.2958715,127.4407052,풍산아파트입구,풍산아파트입구,32752,bus_stop,platform,yes
37.2331857,127.5213539,응암리,응암리,32662,bus_stop,platform,yes
37.3178321,127.4245561,지석리입구.반석아르미아파트,지석리입구.반석아르미아파트,51052,bus_stop,platform,yes
37.2578971,127.4579298,장록동삼거리,장록동삼거리,32646,bus_stop,platform,yes
37.2487318,127.3747804,이치2리,이치2리,32041,bus_stop,platform,yes
37.2092452,127.4079192,동산2리,동산2리,32337,bus_stop,platform,yes
37.2156739,127.3940745,매곡초교앞,매곡초교앞,32281,bus_stop,platform,yes
37.2175657,127.3966567,매곡2리,매곡2리,32688,bus_stop,platform,yes
37.2367953,127.43601,유산4리,유산4리,32431,bus_stop,platform,yes
37.338958,127.5005873,현방2리,현방2리,51309,bus_stop,platform,yes
37.2891435,127.4595857,이천센트럴푸르지오,이천센트럴푸르지오,51307,bus_stop,platform,yes
37.2577228,127.3529282,마장고등학교,마장고등학교,32806,bus_stop,platform,yes
37.2577131,127.3530447,마장고등학교,마장고등학교,32805,bus_stop,platform,yes
37.2556244,127.3514861,양촌리,양촌리,51085,bus_stop,platform,yes
37.296077,127.4205066,명지빌라,명지빌라,32787,bus_stop,platform,yes
37.2563379,127.3524895,양촌1리,양촌1리,32035,bus_stop,platform,yes
37.2563011,127.3527308,양촌1리,양촌1리,32036,bus_stop,platform,yes
37.2515535,127.3543164,마장우체국,마장우체국,32063,bus_stop,platform,yes
37.2593406,127.4905239,부발역,부발역,32641,bus_stop,platform,yes
37.2999356,127.4384147,송정4통,송정4통,51303,bus_stop,platform,yes
