위도,경도,name,addr:full,source:date,amenity,karaoke
33.25184542,126.4249955,메가노래타운,제주특별자치도 서귀포시 천제연로 191,2020-08-20,bar,yes
33.25185347,126.4251757,부엉이,제주특별자치도 서귀포시 천제연로 193,2020-08-20,bar,yes
33.25144218,126.4235859,미쓰라,제주특별자치도 서귀포시 천제연로178번길 3,2020-08-20,bar,yes
33.25158344,126.424495,상상가요주점,제주특별자치도 서귀포시 천제연로188번길 2,2020-08-20,bar,yes
33.25125225,126.4269695,스타박스,제주특별자치도 서귀포시 천제연로208번길 3,2020-08-20,bar,yes
33.2489304,126.5609971,황궁,제주특별자치도 서귀포시 천지로 14,2020-08-20,bar,yes
33.25083164,126.5601463,청춘,제주특별자치도 서귀포시 천지로 37,2020-08-20,bar,yes
33.24801479,126.5611218,베누스노래앤가요방,제주특별자치도 서귀포시 천지로 6,2020-08-20,bar,yes
33.24835211,126.5606437,궁궐,제주특별자치도 서귀포시 천지로 9,2020-08-20,bar,yes
33.24672637,126.558832,젊은미시,제주특별자치도 서귀포시 태평로 351,2020-08-20,bar,yes
33.24473096,126.5646878,쏘맥술래방,제주특별자치도 서귀포시 태평로 416,2020-08-20,bar,yes
33.24706951,126.5579632,클럽아파치,제주특별자치도 서귀포시 태평로335번길 7,2020-08-20,bar,yes
33.24708071,126.560105,황제,제주특별자치도 서귀포시 태평로353번길 11,2020-08-20,bar,yes
33.2468447,126.560677,엠룸라이브,제주특별자치도 서귀포시 태평로353번길 14,2020-08-20,bar,yes
33.24715524,126.5607828,화성,제주특별자치도 서귀포시 태평로353번길 18,2020-08-20,bar,yes
33.24699363,126.5599552,오로라,제주특별자치도 서귀포시 태평로353번길 9,2020-08-20,bar,yes
33.24696819,126.5660588,뉴기림,제주특별자치도 서귀포시 태평로431번길 16,2020-08-20,bar,yes
33.24771501,126.5661366,부킹,제주특별자치도 서귀포시 태평로431번길 24,2020-08-20,bar,yes
33.24803139,126.5658518,도도에스,제주특별자치도 서귀포시 태평로431번길 27,2020-08-20,bar,yes
33.24802555,126.5662467,뚱딴지가요방,제주특별자치도 서귀포시 태평로431번길 28,2020-08-20,bar,yes
33.24829939,126.5661724,넘버원,제주특별자치도 서귀포시 태평로431번길 32,2020-08-20,bar,yes
33.24677544,126.5656005,제니스,제주특별자치도 서귀포시 태평로439번길 16,2020-08-20,bar,yes
33.24669898,126.5623088,대가,제주특별자치도 서귀포시 태평로439번길 46-1,2020-08-20,bar,yes
